defined_class	defined_class_label	external	external_label
http://purl.obolibrary.org/obo/NCIT_C32082	Anterior Cerebral Artery Branch	http://purl.obolibrary.org/obo/UBERON_0035380	branch of anterior cerebral artery
http://purl.obolibrary.org/obo/NCIT_C12667	Anterior Chamber of the Eye	http://purl.obolibrary.org/obo/UBERON_0001766	anterior chamber of eyeball
http://purl.obolibrary.org/obo/NCIT_C32083	Anterior Choroidal Artery	http://purl.obolibrary.org/obo/UBERON_0014696	anterior choroidal artery
http://purl.obolibrary.org/obo/NCIT_C32086	Anterior Commissure	http://purl.obolibrary.org/obo/UBERON_0000935	anterior commissure
http://purl.obolibrary.org/obo/NCIT_C32087	Anterior Communicating Artery	http://purl.obolibrary.org/obo/UBERON_0006764	anterior communicating artery
http://purl.obolibrary.org/obo/NCIT_C32090	Anterior Cranial Fossa	http://purl.obolibrary.org/obo/UBERON_0003720	anterior cranial fossa
http://purl.obolibrary.org/obo/NCIT_C32088	Anterior Cruciate Ligament	http://purl.obolibrary.org/obo/UBERON_0003671	anterior cruciate ligament of knee joint
http://purl.obolibrary.org/obo/NCIT_C12668	Anterior Eye Segment	http://purl.obolibrary.org/obo/UBERON_0001801	anterior segment of eyeball
http://purl.obolibrary.org/obo/NCIT_C52687	Anterior Facial Vein	http://purl.obolibrary.org/obo/UBERON_0035675	anterior facial vein
http://purl.obolibrary.org/obo/NCIT_C32091	Anterior Inferior Cerebellar Artery	http://purl.obolibrary.org/obo/UBERON_0009689	anterior inferior cerebellar artery
http://purl.obolibrary.org/obo/NCIT_C32094	Anterior Jugular Vein	http://purl.obolibrary.org/obo/UBERON_0001104	anterior jugular vein
http://purl.obolibrary.org/obo/NCIT_C32095	Anterior Longitudinal Ligament	http://purl.obolibrary.org/obo/UBERON_0035419	anterior longitudinal ligament
http://purl.obolibrary.org/obo/NCIT_C32096	Anterior Median Fissure of the Spinal Cord	http://purl.obolibrary.org/obo/UBERON_0035319	anterior median fissure of spinal cord
http://purl.obolibrary.org/obo/NCIT_C32097	Anterior Mediastinal Lymph Node	http://purl.obolibrary.org/obo/UBERON_0035520	anterior mediastinal lymph node
http://purl.obolibrary.org/obo/NCIT_C32098	Anterior Mediastinum	http://purl.obolibrary.org/obo/UBERON_0008820	anterior mediastinum
http://purl.obolibrary.org/obo/NCIT_C32099	Anterior Meningeal Artery	http://purl.obolibrary.org/obo/UBERON_0010251	anterior meningeal artery
http://purl.obolibrary.org/obo/NCIT_C52710	Anterior Olfactory Nucleus	http://purl.obolibrary.org/obo/UBERON_0002266	anterior olfactory nucleus
http://purl.obolibrary.org/obo/NCIT_C32101	Anterior Parietal Artery	http://purl.obolibrary.org/obo/UBERON_0035462	anterior parietal artery
http://purl.obolibrary.org/obo/NCIT_C32103	Anterior Pole of the Lens	http://purl.obolibrary.org/obo/UBERON_0019208	anterior pole of lens
http://purl.obolibrary.org/obo/NCIT_C12833	Anterior Spinal Artery	http://purl.obolibrary.org/obo/UBERON_0005431	anterior spinal artery
http://purl.obolibrary.org/obo/NCIT_C32107	Anterior Surface of the Kidney	http://purl.obolibrary.org/obo/UBERON_0035368	anterior surface of kidney
http://purl.obolibrary.org/obo/NCIT_C32108	Anterior Surface of the Lens	http://purl.obolibrary.org/obo/UBERON_0005614	lens anterior epithelium
http://purl.obolibrary.org/obo/NCIT_C13089	Anterior Surface of the Prostate	http://purl.obolibrary.org/obo/UBERON_0035523	anterior surface of prostate
http://purl.obolibrary.org/obo/NCIT_C32113	Anterior Temporal Artery	http://purl.obolibrary.org/obo/UBERON_0035225	anterior temporal artery
http://purl.obolibrary.org/obo/NCIT_C12825	Anterior Tibial Artery	http://purl.obolibrary.org/obo/UBERON_0001537	anterior tibial artery
http://purl.obolibrary.org/obo/NCIT_C32115	Anterior Tibial Vein	http://purl.obolibrary.org/obo/UBERON_0001545	anterior tibial vein
http://purl.obolibrary.org/obo/NCIT_C32120	Antihelix	http://purl.obolibrary.org/obo/UBERON_0016466	antihelix
http://purl.obolibrary.org/obo/NCIT_C32121	Antitragus	http://purl.obolibrary.org/obo/UBERON_0016467	antitragus
http://purl.obolibrary.org/obo/NCIT_C43362	Anus	http://purl.obolibrary.org/obo/UBERON_0001245	anus
http://purl.obolibrary.org/obo/NCIT_C12669	Aorta	http://purl.obolibrary.org/obo/UBERON_0000947	aorta
http://purl.obolibrary.org/obo/NCIT_C49190	Aorta Endothelium	http://purl.obolibrary.org/obo/UBERON_0004851	aorta endothelium
http://purl.obolibrary.org/obo/NCIT_C49191	Aorta Smooth Muscle Tissue	http://purl.obolibrary.org/obo/UBERON_0004178	aorta smooth muscle tissue
http://purl.obolibrary.org/obo/NCIT_C32123	Aortic Arch	http://purl.obolibrary.org/obo/UBERON_0001508	arch of aorta
http://purl.obolibrary.org/obo/NCIT_C97112	Aortic Body	http://purl.obolibrary.org/obo/UBERON_0034971	aortic body
